id,tag,name,parent_id,stem,extension,path,size,owner,group,created,accessed,modified
9771508,Directory,Include,9768633,Include,,/Users/starver/code/public/cpython/Include,3328,501,20,1545241636,1545524452,1545241636
9771556,Directory,internal,9771508,internal,,/Users/starver/code/public/cpython/Include/internal,608,501,20,1545241636,1545524452,1545241636
9771529,Directory,cpython,9771508,cpython,,/Users/starver/code/public/cpython/Include/cpython,352,501,20,1545241636,1545524452,1545241636
9775213,Directory,Objects,9768633,Objects,,/Users/starver/code/public/cpython/Objects,1664,501,20,1545241637,1545524452,1545241637
9775270,Directory,stringlib,9775213,stringlib,,/Users/starver/code/public/cpython/Objects/stringlib,800,501,20,1545241637,1545524452,1545241637
9775273,Directory,clinic,9775270,clinic,,/Users/starver/code/public/cpython/Objects/stringlib/clinic,96,501,20,1545241637,1545524452,1545241637
9775225,Directory,clinic,9775213,clinic,,/Users/starver/code/public/cpython/Objects/clinic,576,501,20,1545241637,1545524452,1545241637
9775512,Directory,Parser,9768633,Parser,,/Users/starver/code/public/cpython/Parser,768,501,20,1545241637,1545524452,1545241637
9773821,Directory,Mac,9768633,Mac,,/Users/starver/code/public/cpython/Mac,352,501,20,1545241637,1545524452,1545241637
9773860,Directory,PythonLauncher,9773821,PythonLauncher,,/Users/starver/code/public/cpython/Mac/PythonLauncher,544,501,20,1545241637,1545524452,1545241637
9773861,Directory,English.lproj,9773860,English,lproj,/Users/starver/code/public/cpython/Mac/PythonLauncher/English.lproj,192,501,20,1545241637,1545524452,1545241637
9773867,Directory,MyDocument.nib,9773861,MyDocument,nib,/Users/starver/code/public/cpython/Mac/PythonLauncher/English.lproj/MyDocument.nib,160,501,20,1545241637,1545524452,1545241637
9773863,Directory,MainMenu.nib,9773861,MainMenu,nib,/Users/starver/code/public/cpython/Mac/PythonLauncher/English.lproj/MainMenu.nib,160,501,20,1545241637,1545524452,1545241637
9773871,Directory,PreferenceWindow.nib,9773861,PreferenceWindow,nib,/Users/starver/code/public/cpython/Mac/PythonLauncher/English.lproj/PreferenceWindow.nib,160,501,20,1545241637,1545524452,1545241637
9773839,Directory,IDLE,9773821,IDLE,,/Users/starver/code/public/cpython/Mac/IDLE,96,501,20,1545241637,1545524452,1545241637
9773840,Directory,IDLE.app,9773839,IDLE,app,/Users/starver/code/public/cpython/Mac/IDLE/IDLE.app,96,501,20,1545241637,1545524452,1545241637
9773841,Directory,Contents,9773840,Contents,,/Users/starver/code/public/cpython/Mac/IDLE/IDLE.app/Contents,192,501,20,1545241637,1545524452,1545241637
9773843,Directory,MacOS,9773841,MacOS,,/Users/starver/code/public/cpython/Mac/IDLE/IDLE.app/Contents/MacOS,96,501,20,1545241637,1545524452,1545241637
9773846,Directory,Resources,9773841,Resources,,/Users/starver/code/public/cpython/Mac/IDLE/IDLE.app/Contents/Resources,192,501,20,1545241637,1545524452,1545241637
9773907,Directory,Tools,9773821,Tools,,/Users/starver/code/public/cpython/Mac/Tools,128,501,20,1545241637,1545524452,1545241637
9773890,Directory,Resources,9773821,Resources,,/Users/starver/code/public/cpython/Mac/Resources,160,501,20,1545241637,1545524452,1545241637
